title,release_year,budget,revenue,runtime,vote_average,vote_count,popularity,genre
Avatar,2009,237000000,2787965087,162,7.6,29239,150.437577,Action
Pirates of the Caribbean: At World's End,2007,300000000,961000000,169,6.9,11448,135.413856,Adventure
Spectre,2015,245000000,880674609,148,6.3,7124,107.376788,Action
The Dark Knight Rises,2012,250000000,1084939099,165,7.6,12002,123.167259,Action
John Carter,2012,260000000,284139100,132,6.1,4925,43.926995,Action
Spider-Man 3,2007,258000000,890871626,139,5.9,10024,115.699814,Fantasy
Tangled,2010,260000000,591794936,100,7.4,6110,48.681969,Animation
Avengers: Age of Ultron,2015,280000000,1405403694,141,7.3,11776,134.279229,Action
Harry Potter and the Half-Blood Prince,2009,250000000,933959197,153,7.5,8894,98.885637,Adventure
Batman v Superman: Dawn of Justice,2016,250000000,873260194,151,5.7,10995,155.790452,Action
Superman Returns,2006,270000000,391081192,154,5.5,2305,57.925623,Action
Quantum of Solace,2008,200000000,586090727,106,6.1,5123,107.928811,Adventure
The Lone Ranger,2013,215000000,260502115,149,5.9,4570,47.561982,Action
Man of Steel,2013,225000000,668045518,143,6.5,9130,98.627803,Action
The Chronicles of Narnia: Prince Caspian,2008,225000000,419651413,150,6.4,3979,74.865541,Adventure
The Avengers,2012,220000000,1519557910,143,7.7,21447,144.448633,Action
Pirates of the Caribbean: On Stranger Tides,2011,380000000,1045713802,136,6.4,8570,137.731245,Adventure
Men in Black 3,2012,225000000,624026776,106,6.5,6847,89.447006,Action
The Hobbit: The Battle of the Five Armies,2014,250000000,956019788,144,7.1,8284,121.512009,Adventure
The Amazing Spider-Man,2012,230000000,752216557,136,6.7,10222,109.678,Action
Robin Hood,2010,200000000,321669741,140,6.0,4350,67.619,Action
The Hobbit: The Desolation of Smaug,2013,225000000,958366855,161,7.5,9006,125.372,Adventure
The Golden Compass,2007,180000000,372234864,113,5.9,3398,62.434,Fantasy
King Kong,2005,207000000,562363449,187,6.8,5332,67.328889,Adventure
Titanic,1997,200000000,2186772302,194,7.7,15091,104.492167,Drama
Captain America: Civil War,2016,250000000,1153304495,147,7.4,15447,198.372,Action
Battleship,2012,209000000,303025485,131,5.5,4091,43.367,Action
Jurassic World,2015,150000000,1513528810,124,6.9,15149,168.917530,Action
Skyfall,2012,200000000,1108561013,143,7.0,10628,122.695,Action
Spider-Man 2,2004,200000000,783766341,127,7.0,7426,93.227,Action
Iron Man 3,2013,200000000,1215439994,130,6.9,14047,120.898,Action
Alice in Wonderland,2010,200000000,1025467110,108,6.2,8658,94.921,Fantasy
X-Men: The Last Stand,2006,210000000,459359555,104,6.2,6053,79.446,Action
Monsters University,2013,200000000,743559607,104,7.0,7693,84.918,Animation
Transformers: Revenge of the Fallen,2009,200000000,836303693,150,5.5,5744,48.948,Action
Transformers: Dark of the Moon,2011,195000000,1123794079,154,5.9,6844,73.458,Action
Oz the Great and Powerful,2013,215000000,493328692,130,5.8,5666,63.678,Adventure
The Amazing Spider-Man 2,2014,200000000,708982323,142,6.5,8562,93.285,Action
TRON: Legacy,2010,170000000,400062763,125,6.2,4667,58.784,Adventure
Cars 2,2011,200000000,559852396,106,5.8,4139,65.721,Animation
Green Lantern,2011,200000000,219851172,114,4.9,4449,55.981,Action
Toy Story 3,2010,200000000,1066969703,103,7.8,8647,59.995,Animation
Terminator Salvation,2009,200000000,371470013,115,5.9,4570,62.253,Action
Terminator Genisys,2015,155000000,440603537,126,5.8,4738,74.868,Action
Terminator 3: Rise of the Machines,2003,200000000,433371112,109,6.1,3571,49.028,Action
World War Z,2013,190000000,531865271,116,6.9,9025,72.428,Action
Transformers: Age of Extinction,2014,210000000,1104039076,165,5.8,6397,52.889,Action
Noah,2014,125000000,362637473,138,5.7,5019,65.573,Drama
X-Men: Days of Future Past,2014,200000000,746045141,131,7.5,10254,98.871,Action
Inception,2010,160000000,825532764,148,8.1,22186,165.423,Action
The Matrix Reloaded,2003,150000000,742128461,138,6.8,7426,65.921,Action
Maleficent,2014,180000000,758539785,97,6.9,7478,92.485,Fantasy
Pirates of the Caribbean: Dead Man's Chest,2006,225000000,1066179725,151,7.0,9785,113.528,Adventure
The Hunger Games: Catching Fire,2013,130000000,865011746,146,7.4,10623,91.228,Action
The Hunger Games: Mockingjay - Part 1,2014,125000000,752100229,123,6.7,9136,74.857,Action
The Hunger Games: Mockingjay - Part 2,2015,160000000,653428261,137,6.5,8621,69.523,Action
The Hunger Games,2012,78000000,691247768,142,6.9,13240,81.528,Action
Fast & Furious 6,2013,160000000,788679850,130,6.7,6880,84.392,Action
Furious 7,2015,190000000,1506249360,137,7.4,7968,138.428,Action
Iron Man 2,2010,200000000,623933331,124,6.6,10810,106.428,Action
Guardians of the Galaxy,2014,170000000,773328629,121,8.0,14520,129.573,Action
